id;nombre;categoria;cocina;ambientacion;telefono;horario;direccion;barrio
48;BAROLO BISTRO;RESTAURANTE;DE AUTOR;;4772 0841;lunes a viernes de 12 a 15 y de 20 al cierre;BONPLAND 1621;Palermo
49;BARRA BONITA;RESTAURANTE;;MODERNO;4825 3342;lunes a sábado mediodía y noche;MANSILLA, LUCIO NORBERTO, GENERAL 3499;Palermo
51;BERALDI;BAR;PORTEÑA;;4833 1144;;CHARCAS 4191;Palermo
52;BARTOK;RESTAURANTE;;;4831 5441;;COSTA RICA 4600;Palermo
53;BEREBER;BAR;MARROQUI;ARABE;4832 5662;;ARMENIA 1880;Palermo
54;BIG MAMMA;RESTAURANTE;INTERNACIONAL;MODERNO;4772 0926;;MATIENZO, BENJAMIN, TENIENTE 1599;Palermo
55;BIO;RESTAURANTE;VEGETARIANA;MODERNO;4774 3880;lunes a domingo de 12 a 16 - martes a domingo de 20 al cierre;HUMBOLDT 2199;Palermo
56;BIG MAMMA;RESTAURANTE;MEDITERRANEA;AMERICANO;4806 6822;;CABELLO 3760;Palermo
57;BO-BO;RESTAURANTE;FUSION;DISEÑO;4774 0505;lunes a domingo de 8 a 1;GUATEMALA 4882;Palermo
58;BOCADOS;RESTAURANTE;TRADICIONAL;MODERNO;4775 2088;;SEGUI, JUAN FRANCISCO 4611;Palermo
59;BODEN SEE;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4774 9064;;ORTEGA Y GASSET 1880;Palermo
60;BODEGA 52;RESTAURANTE;;;4774 6908;;RAVIGNANI, EMILIO, Dr. 1905;Palermo
61;BOKOTO;RESTAURANTE;JAPONESA;ORIENTAL;4776 6505;;HUERGO 261;Palermo
62;BOM FIM;RESTAURANTE;MINUTAS;MODERNO;4775 9920;;DEL LIBERTADOR AV. 3883;Palermo
63;BORDO BAR;PUB;PORTEÑA;RUSTICA;4801 8501;;REPUBLICA DE LA INDIA 2895;Palermo
64;BON JOUR;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4822 0615;;GUEMES 3299;Recoleta
65;BOUTIQUE DEL LIBRO;PUB;INTERNACIONAL;LITERARIO;4833 6637;martes a domingo de 10 al cierre;THAMES 1762;Palermo
66;BRAULIO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4777 8081;lunes a domingo mediodía y noche;BAEZ 518;Palermo
67;BRUJAS;RESTAURANTE;PIZZERIA;MODERNO;4831 3712;;BORGES, JORGE LUIS 1640;Palermo
68;BRIS;RESTAURANTE;SANDWICHERIA;MODERNO;4833 6776;;COSTA RICA 4592;Palermo
69;BRUNELLO;RESTAURANTE;MINUTAS;;4776 0705;;VEGA, NICETO, Cnel. 4992;Palermo
70;BS.AS. ESPRESSO;RESTAURANTE;MINUTAS;MODERNO;4812 3295;;GUEMES 4229;Palermo
71;BUENOS AIRES NEWS;RESTAURANTE;PIZZERIA;MODERNO;4778 1500;jueves a sábado de 12 al cierre;DEL LIBERTADOR AV. 3883;Palermo
72;B'ART;RESTAURANTE;TAPAS;TEATRAL;4777 1112;;BORGES, JORGE LUIS 2180;Palermo
73;CAFE DE LA AMISTAD;BAR;MINUTAS;MODERNO;4772 6929;;JUNCAL 4499;Palermo
74;CABERNET;RESTAURANTE;DE AUTOR;ELEGANTE;4831 3071;;BORGES, JORGE LUIS 1757;Palermo
75;CAFE DE LA SEDA;BAR;INTERNACIONAL;CLASICO PORTEÑO;4831 4040;;ARMENIA 1820;Palermo
76;CAFE DEL BOTANICO;CAFE;INTERNACIONAL;MODERNO;4833 5515;;SANTA FE AV. 3799;Palermo
77;CAFE MARTINEZ;CAFE;;;;;DEL LIBERTADOR AV. 3598;Palermo
78;CAFFE TABAC;BAR;MINUTAS;CLASICO PORTEÑO;4802 1191;;DEL LIBERTADOR AV. 2300;Palermo
79;CAFE MARTINEZ;CAFE;;;4804 6804;;SCALABRINI ORTIZ, RAUL 3195;Palermo
80;CAFFE CITY;CAFE;;;;;CABILDO AV. 1209;Palermo
81;CALDEN DEL SOHO;BAR;TRADICIONAL;CLASICO PORTEÑO;4833 2211;;HONDURAS 4701;Palermo
82;CALLE ROY;RESTAURANTE;MEDITERRANEA;MODERNO;4772 8281;martes a sábado de 21 al cierre;FITZ ROY 1519;Palermo
83;CAMPO DEI FIORI;RESTAURANTE;ITALIANA;CLASICO PORTEÑO;4778 0550;;ARCE 305;Palermo
84;CAMPO BRAVO;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4514 5820;;BAEZ 292;Palermo
85;CAMPO DEI FIORI;RESTAURANTE;ITALIANA;CLASICO PORTEÑO;4856 7868;;ALVAREZ, JULIAN 299;Villa Crespo
86;CANAL;RESTAURANTE;PARRILLA;;4802 6461;;SALGUERO, JERONIMO 2692;Palermo
87;CANTON;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4778 3896;;PARAGUAY 2476;Recoleta
88;CARITO MORENA;RESTAURANTE;PARRILLA;MODERNO;4772 2277;;HONDURAS 5501;Palermo
89;CANGAS DE NARCEA;RESTAURANTE;ESPAÑOLA;CLASICO PORTEÑO;4773 3351;;BERUTI 4643;Palermo
90;CANTONES;RESTAURANTE;INTERNACIONAL;;;;FRAY JUSTO SANTAMARIA DE ORO 2466;Palermo
91;CARMESI;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4833 7667;;ARAOZ 2701;Palermo
92;CARNAL;RESTAURANTE;;;;;VEGA, NICETO, Cnel. AV. 5507;Palermo
93;CAVAS & CUEVAS GRAND BAR;RESTAURANTE;DE AUTOR;CLASICO PORTEÑO;4773 0598;;GUATEMALA 5650;Palermo
94;CERVECERIA ARCE;RESTAURANTE;TRADICIONAL;EQUITACION;4772 4666;;ARCE 375;Palermo
95;CHINA ARGENTINA;RESTAURANTE;TENEDOR LIBRE;MEDITERRANEO;4771 9944;lunes a domingo de 12 a 15 y de 20 a 00;SANTA FE AV. 5300;Palermo
96;CHAJA;RESTAURANTE;MINUTAS;MODERNO;4823 3003;;SALGUERO, JERONIMO 2069;Palermo
97;CHRISTOPHE;RESTAURANTE;;;4771 1150;;FITZ ROY 1994;Palermo
98;CIELITO LINDO;RESTAURANTE;MEXICANA;MEXICANO;4832 8054;lunes a domingo de 20 a 00;EL SALVADOR 4999;Palermo
99;CLASICO;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4776 5460;;BERUTI 4594;Palermo
100;CLUB DEL VINO;RESTAURANTE;INTERNACIONAL;RUSTICA;4833 0050;;CABRERA, JOSE A. 4737;Palermo
101;CLUB EROS;RESTAURANTE;MINUTAS;RUSTICA;4832 1313;lunes a domingo de 12 a 16 y de 20 al cierre;URIARTE 1609;Palermo
102;COMO;RESTAURANTE;ITALIANA;ITALIANA;4774 1787;;ARGUIBEL, ANDRES 2859;Palermo
103;COCINA REGIONAL 1810;RESTAURANTE;REGIONAL;FOLKLORICO;4864 4507;lunes a domingo de 11 a 16 y de 19 a 00;ALVAREZ, JULIAN 1918;Palermo
104;COMODINES;RESTAURANTE;PORTEÑA;MODERNO;4832 8282;;GUEMES 4400;Palermo
105;CONCEPTO;RESTAURANTE;MEDITERRANEA;MINIMALISTA;4773 0411;;BONPLAND 1670;Palermo
106;CONFITERIA PALERMO;RESTAURANTE;INTERNACIONAL;MODERNO;4773 5133;;SANTA FE AV. 4599;Palermo
107;CONCEPTO INDIGO;RESTAURANTE;MEDITERRANEA;ORIENTAL;4801 4080;;LAS HERAS GENERAL AV. 3195;Palermo
108;CONTACTO;RESTAURANTE;MINUTAS;MODERNO;;;FITZ ROY 1663;Palermo
109;CORLEONE;RESTAURANTE;PARRILLA;;;;CHARCAS 3671;Palermo
110;COYAR DE BUITRES;RESTAURANTE;MARISCOS;;4774 5154;lunes a sábado de 18 al cierre;BONPLAND 1698;Palermo
111;CRONICO;BAR;FAST FOOD;CINE;4833 0708;;BORGES, JORGE LUIS 1646;Palermo
112;CUATRO LUNAS;BAR;;;;;BONPLAND 1594;Palermo
113;CUMAN;BAR;MINUTAS;CLASICO PORTEÑO;4779 0169;;ARCE 499;Palermo
114;D7'A SEPTIMO DIA;BAR;MINUTAS;BOHEMIO;4774 4191;;CARRANZA, ANGEL JUSTINIANO 1875;Palermo
115;DAFNI;RESTAURANTE;GRIEGA;GRIEGA;4899 0770;;ARMENIA 1231;Palermo
116;DAMIANO;BAR;;;4778 1771;;GORRITI 5577;Palermo
117;DALINGER;RESTAURANTE;PIZZERIA;;4777 2827;;GORRITI 5801;Palermo
118;DANDY;BAR;TRADICIONAL;MODERNO;4803 7675;;DEL LIBERTADOR AV. 2410;Palermo
119;DASHI;RESTAURANTE;ORIENTAL;MODERNO;4776 3506;;FITZ ROY 1613;Palermo
120;DE LA TERRAZA;VINERIA;PARRILLA;ELEGANTE;4831 3119;;GURRUCHAGA 1824;Palermo
121;DE MONA CASTAÑA;VINERIA;PIZZERIA;MODERNO;4821 0011;;BERUTI 3336;Palermo
122;DE OLIVAS Y LUSTRES;RESTAURANTE;TAPAS;ANTIGUO;4867 3388;;GASCON 1460;Palermo
123;DELEITE;RESTAURANTE;INTERNACIONAL;MODERNO;4815 6633;;ALVEAR, MARCELO T. De 1256;Retiro
124;DEJA VU;RESTAURANTE;;;4825 4443;;PARAGUAY 3701;Palermo
125;DELICITY;RESTAURANTE;MINUTAS;MODERNO;4823 1298;lunes a domingo de 8 a 21;JUNCAL 3100;Recoleta
126;DELICITY;RESTAURANTE;MINUTAS;MODERNO;4833 0479;;SANTA FE AV. 3503;Palermo
127;DELICITY;RESTAURANTE;MINUTAS;MODERNO;4801 8739;;SALGUERO, JERONIMO 2604;Palermo
128;DELICITY;RESTAURANTE;MINUTAS;MODERNO;4807 1070;;SALGUERO, JERONIMO 3071;Palermo
129;DELINGER;RESTAURANTE;TAPAS;ALEMANA;;;GORRITI 5801;Palermo
130;DESDE EL ALMA;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4831 5812;;HONDURAS 5296;Palermo
131;DI YAHOO;RESTAURANTE;INTERNACIONAL;;;;GUISE 1924;Palermo
132;DIPEI;BAR;MINUTAS;CLASICO PORTEÑO;;;CORDOBA AV. 5599;Palermo
133;DIVINA PATAGONIA;BAR;;;4771 6864;;HONDURAS 5710;Palermo
134;DOMINGA;RESTAURANTE;MEDITERRANEA;MEDITERRANEO;4771 4443;;HONDURAS 5618;Palermo
135;DON BASILICO;RESTAURANTE;PIZZERIA;MODERNO;4806 4826;;REPUBLICA DE LA INDIA 2899;Palermo
136;DON GOMEZ;RESTAURANTE;PARRILLA;MODERNO;4772 1131;;SOLER 5644;Palermo
137;DON IGNACIO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4776 7278;;OLLEROS AV. 1879;Palermo
138;DON ISIDRO;RESTAURANTE;;;4899 0882;;BONPLAND 1905;Palermo
139;DON JULIO;RESTAURANTE;TRADICIONAL;ANTIGUO;4832 6058;;GUATEMALA 4699;Palermo
140;DOÑA FLOR;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4833 6831;;MALABIA 2497;Palermo
141;DOS REYES BAR;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4772 1165;;DEL LIBERTADOR AV. 4986;Palermo
142;DON`T TELL MAMA;RESTAURANTE;TRADICIONAL;MODERNO;4775 4798;;PARAGUAY 5700;Palermo
143;DOSHI;RESTAURANTE;;;4776 3506;;FITZ ROY 1613;Palermo
144;DRAGON & SWORD;;;;;;HONDURAS 5514;Palermo
145;DUBILNERS;RESTAURANTE;;;;;HUMBOLDT 1946;Palermo
147;DUICINED;PUB;MINUTAS;CLASICO PORTEÑO;4779 0762;;SANTA FE AV. 4130;Palermo
148;EA;BAR;MINUTAS;RUSTICA;4772 0011;;PARAGUAY 5302;Palermo
149;EFE 1;BAR;;;;;SOLER 5601;Palermo
150;EH! SANTINO;RESTAURANTE;ITALIANA;ITALIANA;4779 9060;;BAEZ 196;Palermo
151;EL BAGUAL;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4777 5028;;ORTEGA Y GASSET 1777;Palermo
152;EL BUEN GOURMET;RESTAURANTE;PORTEÑA;CLASICO PORTEÑO;4832 6684;;CHARCAS 4063;Palermo
153;EL CABALLITO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4806 0102;;LAS HERAS GENERAL AV. 2995;Palermo
154;EL CEIBAL;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4823 5807;;GUEMES 3402;Palermo
155;EL ENCANTO;RESTAURANTE;;;;;BONPLAND 1642;Palermo
156;EL ENDIABLADO;RESTAURANTE;TRADICIONAL;MODERNO;4778 3514;;FRAY JUSTO SANTAMARIA DE ORO 2517;Palermo
157;EL ESTANCIERO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4899 0951;;BAEZ 202;Palermo
158;EL FEDERAL;RESTAURANTE;REGIONAL;FOLKLORICO;4832 6500;;HONDURAS 5254;Palermo
159;EL FEDERAL. PULPERIA;RESTAURANTE;REGIONAL;FOLKLORICO;4832 8084;;SERRANO 1507;Palermo
160;EL FOGON;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4773 3595;;JUNCAL 4602;Palermo
161;EL GALEON;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4831 0544;;SANTA FE AV. 4002;Palermo
162;EL GORRITI RESTAURANT;RESTAURANTE;TRADICIONAL;ANTIGUO;4862 8031;lunes a domingo de 12 a 16 y de 19 a 00;GORRITI 3780;Palermo
163;EL MANTO;RESTAURANTE;ARMENIA;ANTIGUO;4774 2409;;COSTA RICA 5801;Palermo
164;EL MYSTICO;RESTAURANTE;TRADICIONAL;RUSTICA;4775 3653;;GORRITI 5902;Palermo
165;EL NOVILLO ALEGRE;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4772 4458;;GOROSTIAGA 1833;Palermo
166;EL PARRILLON DE RECOLETA;RESTAURANTE;TRADICIONAL;MODERNO;4778 3773;;DEL LIBERTADOR AV. 3880;Palermo
167;EL PENSADOR;RESTAURANTE;INTERNACIONAL;MODERNO;4832 4616;;PARAGUAY 4495;Palermo
168;EL PINGÃƒÅ“INO DE PALERMO;RESTAURANTE;;;;;PARAGUAY 4496;Palermo
169;EL PORTUGUES;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4771 8699;;BAEZ 499;Palermo
170;EL PREFERIDO DE PALERMO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4774 6585;lunes a sábado de 12 a 16 y de 20 al cierre;BORGES, JORGE LUIS 2108;Palermo
171;EL PURGATORIO;RESTAURANTE;INTERNACIONAL;DISEÑO;4834 6177;;BORGES, JORGE LUIS 1766;Palermo
172;EL RAPIDO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4774 5661;;GODOY CRUZ 2623;Palermo
173;EL RESCATE DE DORYA;RESTAURANTE;;;4771 6555;;BONPLAND 1762;Palermo
174;EL REY DEL VINO;RESTAURANTE;INTERNACIONAL;BODEGA;4772 5819;;PARAGUAY 5001;Palermo
175;EL SOL;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4772 1045;;CABRERA, JOSE A. 6099;Palermo
176;EL TALLER;RESTAURANTE;MINUTAS;BOHEMIO;4831 5501;;SERRANO 1595;Palermo
177;EL TIMON;RESTAURANTE;INTERNACIONAL;MARINA;4772 0370;;DORREGO 1649;Palermo
178;EL TRAPICHE;RESTAURANTE;;;;;PARAGUAY 1500;Recoleta
179;EMBRUJO;RESTAURANTE;INTERNACIONAL;;4776 4502;;GORRITI 5612;Palermo
180;EPICUREOS;RESTAURANTE;DE AUTOR;CLASICO PORTEÑO;4772 8108;;SOLDADO DE LA INDEPENDENCIA 851;Palermo
181;ESPACIO MIRADA;RESTAURANTE;MINUTAS;RUSTICA;4772 4231;;SOLER 5802;Palermo
182;ESPACIO MIRADA;RESTAURANTE;INTERNACIONAL;ARTESANIAS;4772 9221;;NICARAGUA 5802;Palermo
183;ESPACIO RENATA;RESTAURANTE;INTERNACIONAL;ARTESANIAS;4831 1440;;MALABIA 1835;Palermo
184;FABIANO CAFE;BAR;SANDWICHERIA;MODERNO;4806 9780;;UGARTECHE 3101;Palermo
185;FELIX;RESTAURANTE;;;;;HONDURAS 4096;Palermo
186;FEED BACK;BAR;MINUTAS;CLASICO PORTEÑO;4822 2009;;CHARCAS 3359;Palermo
187;FERNANDO;RESTAURANTE;ITALIANA;MODERNO;4777 3832;;GODOY CRUZ 2796;Palermo
188;FILIPPO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4772 5874;;LACROZE, FEDERICO 1802;Palermo
189;FLORENCIA;RESTAURANTE;;;;;URIARTE 2461;Palermo
190;FREUD & FAHLER;RESTAURANTE;DE AUTOR;CLASICO PORTEÑO;4833 2153;lunes a sábado de 12.30 a 15.30 y de 20.30 a 00;GURRUCHAGA 1750;Palermo
191;FUENSANTA;RESTAURANTE;;;4822 0628;;CHARCAS 3301;Palermo
192;GARBIS;CONFITERIA;ARMENIA;ARMENIA;4511 6600;;SCALABRINI ORTIZ, RAUL 3190;Palermo
193;GAZEBO;RESTAURANTE;TRADICIONAL;MODERNO;4806 4962;;REPUBLICA ARABE SIRIA 3091;Palermo
194;GERONIMO BAR;RESTAURANTE;;;;;HONDURAS 3900;Palermo
195;GIOVANE;BAR;MINUTAS;MODERNO;4833 3636;;SCALABRINI ORTIZ, RAUL AV. 2401;Palermo
196;GIRASOLES;BAR;;;4832 4475;;ARMENIA 2397;Palermo
197;GODI;RESTAURANTE;DE AUTOR;MODERNO;4831 459;;COSTA RICA 4538;Palermo
198;GRAPPA;RESTAURANTE;ITALIANA;RUSTICA;4899 2577;;EL SALVADOR 5802;Palermo
199;GRATTO;RESTAURANTE;;;;;PARAGUAY 4678;Palermo
200;GREEN BAMBOO;RESTAURANTE;TAILANDESA;TAILANDESA;4775 7050;martes a sábado de 20 al cierre;COSTA RICA 5802;Palermo
201;GUADALAJARA DE NOCHE;RESTAURANTE;MEXICANA;MEXICANO;4832 8971;lunes a viernes de 19 a 00 - sábado y domingo de 12 a 00;GURRUCHAGA 1881;Palermo
202;GULA & BULLA;RESTAURANTE;TRADICIONAL;ANTIGUO;4774 7354;;CARRANZA, ANGEL JUSTINIANO 1969;Palermo
203;HALINA;RESTAURANTE;SANDWICHERIA;MODERNO;4807 9396;;ARAOZ 2806;Palermo
204;HAMSE;RESTAURANTE;;;;;GORRITI 5616;Palermo
205;HANAN;RESTAURANTE;ARABE;ARABE;4899 5075;lunes a domingo de 12 a 15.30 y de 20 a 1;ALVAREZ, JULIAN 1272;Palermo
206;HAVANNA;RESTAURANTE;MINUTAS;MODERNO;4858 0555;;LAS HERAS GENERAL AV. 3602;Palermo
207;HELARTE;BAR;TRADICIONAL;;4821 4844;;CHARCAS 3587;Palermo
208;HENRY;BAR;MINUTAS;MODERNO;4832 9510;;GUATEMALA 4788;Palermo
209;HENRY J. BEAN'S;RESTAURANTE;AMERICANA;AMERICANO;477 9172;;ARCE 907;Palermo
210;HERMANN;RESTAURANTE;PORTEÑA;CLASICO PORTEÑO;4832 1929;;SANTA FE AV. 3902;Palermo
211;HILARIO;RESTAURANTE;PIZZERIA;BOHEMIO;4778 9242;;HONDURAS 6000;Palermo
212;HOLLYWOOD;RESTAURANTE;INTERNACIONAL;ITALIANA;4776 6481;;DORREGO 1874;Colegiales
213;HOLLYWOOD ALMACEN;RESTAURANTE;INTERNACIONAL;ITALIANA;4777 4281;;DORREGO 1879;Palermo
214;HOT BAR;RESTAURANTE;MINUTAS;MODERNO;4772 5014;;HONDURAS 5640;Palermo
215;IL BACO;RESTAURANTE;PIZZERIA;;4806 9992;lunes a domingo mediodía y noche;AUSTRIA 2295;Recoleta
216;IL GATTO TRATTORIAS;RESTAURANTE;ITALIANA;ITALIANA;4828 0202;;BERUTI 3391;Palermo
217;IL GRAN CARUSO;RESTAURANTE;ITALIANA;ITALIANA;4777 6633;;GOROSTIAGA 1720;Palermo
218;IO TE AMASSO;RESTAURANTE;PIZZERIA;RUSTICA;4832 3111;;MALABIA 1885;Palermo
219;ITAMAE;RESTAURANTE;JAPONESA;MODERNO;4807 5300;;REPUBLICA ARABE SIRIA 3045;Palermo
220;ITAMAE- SUSHI;RESTAURANTE;JAPONESA;MODERNO;4775 1800;;ARGUIBEL, ANDRES 2813;Palermo
221;JA!;RESTAURANTE;;;;;BONPLAND 1657;Palermo
222;JADE;RESTAURANTE;CHINA;;;lunes a lunes de 12 a 15 y de 20 a 00.;UGARTECHE 3033;Palermo
223;JANIO;RESTAURANTE;PORTEÑA;MODERNO;4833 6540;;MALABIA 1805;Palermo
224;Los Chinos;RESTAURANTE;CHINA;;4777 6789;lunes a lunes de 12 a 15 y de 20 a 00.;LACROZE, FEDERICO AV. 2121;Palermo
225;JARDIN JAPONES RESTAURANTE;RESTAURANTE;JAPONESA;ORIENTAL;4804 4922;;CASARES AV. y FIGUEROA ALCORTA, PRES. AV.;Palermo
226;KENTOCKY;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4773 7869;;SANTA FE AV. 4602;Palermo
227;KRISHNA;RESTAURANTE;VEGETARIANA;INDIA;4833 4618;;MALABIA 1833;Palermo
228;KUNST;RESTAURANTE;PIZZERIA;MODERNO;4806 3117;;CABELLO 3772;Palermo
229;LA ALHAMBRA;RESTAURANTE;;;;;CHARCAS 4309;Palermo
230;LA BAITA;RESTAURANTE;ITALIANA;ITALIANA;4832 7234;martes a domingo de 12.30 al cierre;THAMES 1603;Palermo
231;LA BLU BLONA;RESTAURANTE;PIZZERIA;MODERNO;4833 2160;;THAMES 1776;Palermo
232;LA ALHAMBRA;RESTAURANTE;;;;;CHARCAS 4301;Palermo
233;LA BARRA;RESTAURANTE;MINUTAS;MODERNO;4777 7300;;GUEMES 4502;Palermo
234;LA BOQUERIA;RESTAURANTE;TRADICIONAL;RUSTICA;4831 9301;lunes a sábado de 8 a 1;SCALABRINI ORTIZ, RAUL AV. 1398;Palermo
235;LA CABRERA;RESTAURANTE;PARRILLA;RUSTICA;4831 7002;;CABRERA, JOSE A. 5099;Palermo
236;LA CAMILA;RESTAURANTE;;;;;HUMBOLDT 1668;Palermo
237;LA CANTINA DE ARNOLDO;RESTAURANTE;ITALIANA;ITALIANA;4862 8342;lunes a viernes de 12 a 15 - sábado y domingo de 8 a 00;CABRERA, JOSE A. 3602;Palermo
238;LA CASONA;RESTAURANTE;;;4772 9643;;DORREGO 1717;Palermo
239;LA CÁTEDRA;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4777 4601;;CERVIÑO AV. 4699;Palermo
